State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.70989	3.69888	3.66009	3.63598	3.61815	3.55892	3.48710	3.41109	3.32092	3.22394	3.09184	2.93719	2.83130	2.72174	2.60589	2.49790	2.39568	2.31704	2.24051	2.16869	2.11207
2	0.73250	0.68949	0.66530	0.64380	0.59675	0.59138	0.59003	0.57794	0.56719	0.57256	0.54971	0.54299	0.53090	0.53493	0.51880	0.52821	0.51477	0.52955	0.52283	0.53762	0.56046
3	1.32427	1.30625	1.35429	1.35730	1.41135	1.41135	1.43237	1.43838	1.40534	1.31225	1.31526	1.28523	1.26721	1.17412	1.05401	1.06302	1.02998	1.02698	1.02998	1.05401	1.04500
4	1.50392	1.52551	1.57841	1.61620	1.58813	1.61080	1.63779	1.76735	1.81485	1.84184	1.84724	1.95304	2.01026	2.01458	2.03401	2.03833	2.06424	2.04265	2.01566	2.01350	2.06856
5	2.48922	2.41107	2.37199	2.43451	2.44624	2.49704	2.62990	2.57519	2.67289	2.75886	2.72369	2.72759	2.52830	2.42279	2.49313	2.47750	2.50485	2.56738	2.70415	2.61427	2.61818
6	4.24843	4.24377	4.21579	3.99660	3.81473	3.67016	3.52559	3.37636	3.24112	3.03126	2.96597	2.90535	3.09189	3.19915	3.19449	3.30175	3.37170	3.34838	3.28775	3.31107	3.40434
7	2.96105	2.94405	2.85226	2.79787	2.81487	2.82847	2.86586	2.80807	2.73328	2.55650	2.34912	2.37292	2.38992	2.48171	2.59049	2.57010	2.61089	2.66189	2.71968	2.77407	2.78767
8	1.48318	1.47449	1.47494	1.46670	1.46029	1.45755	1.44977	1.43283	1.42230	1.40490	1.38705	1.37011	1.35958	1.34356	1.32525	1.31610	1.30236	1.29779	1.29595	1.29779	1.28771
9	0.64741	0.65116	0.65410	0.65876	0.66499	0.67001	0.67502	0.68150	0.69214	0.70860	0.72841	0.74123	0.75120	0.76296	0.77572	0.78545	0.79472	0.80171	0.80875	0.81437	0.81630
10	0.40083	0.40546	0.41055	0.41009	0.40963	0.41749	0.42212	0.42397	0.41749	0.40592	0.40361	0.40407	0.40222	0.40824	0.40546	0.40870	0.41101	0.41379	0.41425	0.41749	0.41842
