State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.68387	0.63436	0.60845	0.56635	0.53442	0.51499	0.48260	0.47242	0.46316	0.46363	0.46872	0.47890	0.49046	0.49925	0.51452	0.53396	0.57005	0.62418	0.71117	0.83703	0.96427
2	0.88499	0.75687	0.63468	0.56231	0.49351	0.45199	0.41521	0.39030	0.37843	0.37132	0.34878	0.34285	0.37369	0.38318	0.40097	0.42589	0.49588	0.60977	0.87787	1.24682	1.67271
3	3.22033	2.85987	2.38013	1.74932	1.37560	0.97538	0.80840	0.75804	0.73683	0.69443	0.74479	0.74744	0.72888	0.79514	0.93297	1.30404	2.29532	4.41835	6.65801	8.13963	9.34029
4	3.28570	3.54299	3.53156	3.56586	3.40196	3.07796	2.57863	1.86298	1.34173	1.08062	0.94817	0.95102	0.97104	1.07109	1.18735	1.45989	1.88013	2.18316	2.33087	2.38709	2.30228
5	5.90495	6.61892	7.32255	7.67781	7.13284	6.44646	5.35998	4.56323	3.78027	2.81106	2.22815	1.88669	2.04880	2.60756	4.61151	8.76774	13.47238	15.49014	14.92448	13.93112	12.20310
6	6.00145	7.35980	9.24914	11.87529	15.89683	20.86922	26.83362	33.60068	39.59390	40.29777	41.80431	51.18517	52.14013	50.61713	46.31568	38.59777	29.15929	20.91862	15.50579	11.37723	8.52880
7	4.96008	5.33216	6.39139	7.96373	10.02518	12.59074	15.29733	17.37678	18.65206	21.91076	22.81696	16.31455	14.07306	12.49472	11.38748	10.19322	8.16177	6.56543	4.91507	3.88584	3.28571
8	1.94713	1.98188	2.00370	2.01097	2.00127	1.94632	1.83763	1.70995	1.58793	1.48530	1.43802	1.44651	1.52489	1.63884	1.75844	1.83278	1.90955	1.94228	1.95763	1.93299	1.89864
9	0.68697	0.65737	0.62554	0.58418	0.53795	0.48645	0.43937	0.39667	0.36336	0.34436	0.33296	0.32996	0.33886	0.35120	0.36546	0.38303	0.40346	0.42716	0.45318	0.47513	0.49642
10	0.28271	0.28107	0.27862	0.27699	0.27372	0.27045	0.25983	0.25084	0.24185	0.24104	0.24145	0.24635	0.25043	0.25820	0.25656	0.25738	0.26024	0.26269	0.26065	0.26187	0.26351
