State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	6.63237	0.74948	4.03699	2.27101	3.09164	0.46873	0.62793	0.27351
2	2.58683	0.26863	0.74584	2.28261	0.54977	0.34879	0.59869	0.22363
3	1.15783	0.16537	1.32883	2.27047	1.31239	0.74481	2.17303	0.22844
4	3.22039	0.27041	1.40295	1.10926	1.84635	0.94819	2.18424	0.53660
5	0.88973	0.64393	2.07709	1.62084	2.72397	2.22822	6.34798	0.35402
6	0.74554	46.49246	7.46748	1.71558	2.96628	41.80147	23.75977	0.19513
7	1.02271	25.54936	4.00242	0.92128	2.34937	22.81766	11.05722	0.37030
8	7.59506	1.77248	1.38918	0.95128	1.38720	1.43807	1.90243	0.89579
9	68.63786	0.24828	0.59256	0.85051	0.72849	0.33297	0.48805	1.10706
10	7.51168	0.18690	0.33381	0.47480	0.40365	0.24145	0.28205	1.59562
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
