State (Emission order)	H3K27me3	H3K4me3	H2AFZ	H3K4me2	H3K9ac	H3K27ac	H3K79me2	H3K4me1	H3K36me3	H3K9me3
1	1.7786236773713142E-4	7.373050169509787E-5	0.0013009644897072749	1.2983669364372737E-4	0.0026246874711416774	0.0018610878595650595	0.01871400206232535	0.0071374887561204865	0.3019074196488987	0.0011321213793008896
2	3.036500092784887E-4	8.126650978832145E-5	0.0024507759613928712	5.814736343469468E-4	0.0031076322187740496	0.003239722758090577	0.6180779376906417	0.032602877945893616	0.13589519431236513	0.010265890482131586
3	4.4705669816768185E-4	0.011257564442924495	0.006694952821985038	0.16754574729853067	0.06255507815726749	0.10375495376531531	0.8576543975563488	0.8476931290835089	0.19447870380680118	0.003815189935415504
4	0.031122952732448136	0.0042989857938924275	0.06566339402382894	0.10020730198533333	0.019634495046853426	0.04695827903188299	0.009672786611983834	0.7752590317680299	0.014580456457581074	0.0061468332125258485
5	0.0089578325839024	0.24861610400549275	0.15609576398685138	0.8437353694172288	0.658072968004986	0.6775299694701762	0.405776795500177	0.9308266425297793	0.05743207015668127	0.0032330251094214186
6	0.44559080277391194	0.9493566044236876	0.3101840365890476	0.9696374718569664	0.9908011097784609	0.8045738193234893	0.5530339320591682	0.23908854276475427	0.015536793086267755	0.005183377227608752
7	0.29547789238218886	0.6015788563944633	0.29174366136050034	0.7940377088954411	0.3199907314449718	0.014403847522268733	0.020073090046390886	0.6094197830436432	0.0014451847166998444	0.02378676369163857
8	0.3758011686024588	0.001372236317379025	0.01756597337743087	0.0010774709573364227	0.0018653770830136807	1.3401958563292654E-5	2.7302699743046434E-4	0.014656310095444575	2.1275129181137507E-4	0.0030219123544400284
9	0.0049388581574612515	3.212348142886845E-5	0.004739493208308213	1.4363940609720907E-4	2.9883531827757016E-4	1.8796864944531153E-5	4.178133463565932E-4	8.941819058876307E-4	8.934839390262868E-4	0.003004404067125149
10	0.005441451412857908	2.152948948630095E-4	0.013875045455603278	2.2945219572936978E-4	3.604028827384086E-4	1.0279919595719386E-4	0.002109414583814605	8.810848934874568E-4	0.002757129881014329	0.5425674740197426
